n_hor,n_ver,n_tot,eta,S
147,174,321,0.62695312,-0.08411215
175,145,320,0.625,0.09375
209,115,324,0.6328125,0.29012346
197,120,317,0.61914062,0.24290221
227,96,323,0.63085938,0.40557276
262,57,319,0.62304688,0.64263323
267,48,315,0.61523438,0.6952381
263,56,319,0.62304688,0.64890282
311,25,336,0.65625,0.85119048
314,24,338,0.66015625,0.85798817
284,50,334,0.65234375,0.7005988
299,27,326,0.63671875,0.83435583
313,12,325,0.63476562,0.92615385
307,25,332,0.6484375,0.84939759
289,32,321,0.62695312,0.80062305
289,27,316,0.6171875,0.82911392
266,57,323,0.63085938,0.64705882
267,61,328,0.640625,0.62804878
283,41,324,0.6328125,0.74691358
317,10,327,0.63867188,0.93883792
300,34,334,0.65234375,0.79640719
299,33,332,0.6484375,0.80120482
334,7,341,0.66601562,0.95894428
309,22,331,0.64648438,0.86706949
275,43,318,0.62109375,0.72955975
285,45,330,0.64453125,0.72727273
292,37,329,0.64257812,0.77507599
303,27,330,0.64453125,0.83636364
305,28,333,0.65039062,0.83183183
325,11,336,0.65625,0.93452381
329,9,338,0.66015625,0.94674556
333,11,344,0.671875,0.93604651
330,0,330,0.64453125,1
321,8,329,0.64257812,0.95136778
321,5,326,0.63671875,0.96932515
326,16,342,0.66796875,0.90643275
300,28,328,0.640625,0.82926829
328,5,333,0.65039062,0.96996997
340,5,345,0.67382812,0.97101449
342,0,342,0.66796875,1
321,11,332,0.6484375,0.93373494
319,15,334,0.65234375,0.91017964
314,18,332,0.6484375,0.89156627
299,20,319,0.62304688,0.87460815
326,18,344,0.671875,0.89534884
311,22,333,0.65039062,0.86786787
297,26,323,0.63085938,0.83900929
320,20,340,0.6640625,0.88235294
320,13,333,0.65039062,0.92192192
305,28,333,0.65039062,0.83183183
288,43,331,0.64648438,0.74018127
265,62,327,0.63867188,0.62079511
286,38,324,0.6328125,0.7654321
332,4,336,0.65625,0.97619048
321,13,334,0.65234375,0.92215569
335,5,340,0.6640625,0.97058824
315,30,345,0.67382812,0.82608696
298,32,330,0.64453125,0.80606061
276,58,334,0.65234375,0.65269461
273,57,330,0.64453125,0.65454545
294,36,330,0.64453125,0.78181818
286,53,339,0.66210938,0.68731563
282,40,322,0.62890625,0.7515528
274,60,334,0.65234375,0.64071856
289,43,332,0.6484375,0.74096386
314,20,334,0.65234375,0.88023952
292,28,320,0.625,0.825
316,19,335,0.65429688,0.88656716
331,6,337,0.65820312,0.96439169
