beta,h,mean_energy,mean_magnetization_abs,mean_magnetization,specific_heat
0.4,-0.15,1.10443,0.0137695,0.0137695,5.37993e-05
0.4,-0.1,1.10481,0.0086731,0.0086853,4.69768e-05
0.4,-0.05,1.10802,0.00503662,0.00524658,4.73681e-05
0.4,3.19189e-16,1.10126,0.000159912,0.0028772,4.1018e-05
0.4,0.05,1.10816,-0.00459106,0.00495239,5.03564e-05
0.4,0.1,1.09959,-0.009823,0.009823,5.07735e-05
0.4,0.15,1.10295,-0.0131946,0.0131946,5.12103e-05
0.4,0.2,1.09848,-0.0187476,0.0187476,5.90811e-05
0.4,0.25,1.09599,-0.0234766,0.0234766,4.06072e-05
0.4,0.3,1.0872,-0.0271448,0.0271448,4.93637e-05
0.4,0.35,1.08172,-0.0320532,0.0320532,6.15054e-05
0.4,0.4,1.07628,-0.036615,0.036615,5.77238e-05
0.4,0.45,1.06716,-0.0415991,0.0415991,5.72844e-05
0.4,0.5,1.05336,-0.0467395,0.0467395,5.86412e-05
0.4,0.55,1.04174,-0.0513733,0.0513733,5.8926e-05
0.4,0.6,1.02964,-0.0557043,0.0557043,5.32357e-05
0.4,0.65,1.02117,-0.0609045,0.0609045,5.58224e-05
0.4,0.7,1.00366,-0.0662964,0.0662964,5.12249e-05
0.4,0.75,0.992216,-0.0708508,0.0708508,5.84881e-05
0.4,0.8,0.976038,-0.075509,0.075509,5.95965e-05
0.4,0.85,0.957688,-0.0806934,0.0806934,6.38449e-05
0.4,0.9,0.94091,-0.0856152,0.0856152,5.58779e-05
0.4,0.95,0.923518,-0.0914319,0.0914319,5.90428e-05
0.45,-1,1.2129,0.0769165,0.0769165,0.000137536
0.45,-0.95,1.24202,0.0722839,0.0722839,0.000163266
0.45,-0.9,1.26339,0.0676721,0.0676721,0.00012638
0.45,-0.85,1.2901,0.0625366,0.0625366,0.000156626
0.45,-0.8,1.32077,0.0575476,0.0575476,0.000182148
0.45,-0.75,1.35291,0.0527905,0.0527905,0.000207798
0.45,-0.7,1.36888,0.0487671,0.0487671,0.000208074
0.45,-0.65,1.40097,0.0440527,0.0440527,0.000118317
0.45,-0.6,1.40713,0.0405652,0.0405652,0.000169878
0.45,-0.55,1.43611,0.0368384,0.0368384,0.000115004
0.45,-0.5,1.44602,0.0330115,0.0330115,0.000141498
0.45,-0.45,1.4601,0.0293298,0.0293298,0.000192201
0.45,-0.4,1.46746,0.025918,0.025918,0.000109113
0.45,-0.35,1.48361,0.0222607,0.0222607,0.000137374
0.45,-0.3,1.49128,0.0190637,0.0190637,8.72148e-05
0.45,-0.25,1.49683,0.015708,0.015708,8.63971e-05
0.45,-0.2,1.50116,0.0126025,0.0126025,0.000128762
0.45,-0.15,1.51279,0.00917847,0.00917847,0.00010877
0.45,-0.1,1.51263,0.00635742,0.00638916,0.000101703
0.45,-0.05,1.49873,0.00363892,0.0039563,0.00017875
0.45,3.19189e-16,1.51091,-0.000223389,0.002323,0.000107404
0.45,0.05,1.51007,-0.003396,0.00385498,9.98545e-05
0.45,0.1,1.51236,-0.00591675,0.00592407,0.000112019
0.45,0.15,1.49992,-0.00917603,0.00917603,0.000120275
0.45,0.2,1.49318,-0.0129297,0.0129297,0.000131359
0.45,0.25,1.48925,-0.0152271,0.0152271,0.000140401
0.45,0.3,1.49184,-0.0184839,0.0184839,9.91034e-05
0.45,0.35,1.47206,-0.0226392,0.0226392,0.000212217
0.45,0.4,1.46789,-0.0259058,0.0259058,0.000126339
0.45,0.45,1.46146,-0.0292725,0.0292725,0.000112438
0.45,0.5,1.44586,-0.0330017,0.0330017,0.000117877
0.45,0.55,1.42921,-0.0366382,0.0366382,0.000188464
0.45,0.6,1.40276,-0.0410547,0.0410547,0.000175042
0.45,0.65,1.39658,-0.0448804,0.0448804,0.000161841
0.45,0.7,1.37062,-0.0486255,0.0486255,0.000207642
0.45,0.75,1.34594,-0.0532666,0.0532666,0.000204596
0.45,0.8,1.32032,-0.0580945,0.0580945,0.000242437
