beta,h,mean_energy,mean_magnetization_abs,mean_magnetization,specific_heat
0.45,-0.95,-0.967053,-0.96941,0.96941,6.67326e-06
0.45,-0.9,-1.01101,-0.967573,0.967573,6.20465e-06
0.45,-0.85,-1.05437,-0.965551,0.965551,5.56591e-06
0.45,-0.8,-1.098,-0.963667,0.963667,8.07835e-06
0.45,-0.75,-1.13878,-0.960643,0.960643,9.13595e-06
0.45,-0.7,-1.18292,-0.958979,0.958979,9.37494e-06
0.45,-0.65,-1.22115,-0.955278,0.955278,1.50065e-05
0.45,-0.6,-1.26116,-0.952009,0.952009,1.06033e-05
0.45,-0.55,-1.30199,-0.949434,0.949434,1.17582e-05
0.45,-0.5,-1.3389,-0.945162,0.945162,1.55189e-05
0.45,-0.45,-1.37522,-0.940249,0.940249,1.64863e-05
0.45,-0.4,-1.41159,-0.935917,0.935917,1.6796e-05
0.45,-0.35,-1.44347,-0.929517,0.929517,2.28329e-05
0.45,-0.3,-1.47513,-0.922898,0.922898,2.21783e-05
0.45,-0.25,-1.50335,-0.915129,0.915129,2.28355e-05
0.45,-0.2,-1.52572,-0.904211,0.904211,3.59782e-05
0.45,-0.15,-1.5457,-0.89083,0.89083,3.7915e-05
0.45,-0.1,-1.56066,-0.874918,0.874918,4.34833e-05
0.45,-0.05,-1.55821,-0.844402,0.844402,6.19273e-05
0.45,3.19189e-16,-1.51714,-0.759225,0.759225,7.88559e-05
0.45,0.05,-1.55902,0.845963,0.845963,4.60399e-05
0.45,0.1,-1.55839,0.873884,0.873884,3.83319e-05
0.45,0.15,-1.54687,0.892007,0.892007,3.33218e-05
0.45,0.2,-1.5263,0.904421,0.904421,2.95301e-05
0.45,0.25,-1.50193,0.914727,0.914727,2.39654e-05
0.45,0.3,-1.47316,0.92229,0.92229,2.7134e-05
0.45,0.35,-1.44442,0.929822,0.929822,2.22126e-05
0.45,0.4,-1.41001,0.935298,0.935298,1.89204e-05
0.45,0.45,-1.37497,0.940513,0.940513,1.43078e-05
0.45,0.5,-1.33986,0.945314,0.945314,1.4975e-05
0.45,0.55,-1.29929,0.948184,0.948184,1.53351e-05
0.45,0.6,-1.26032,0.951653,0.951653,9.39889e-06
0.45,0.65,-1.22315,0.956001,0.956001,1.16372e-05
0.45,0.7,-1.18092,0.958431,0.958431,1.30404e-05
0.45,0.75,-1.13982,0.961028,0.961028,8.93409e-06
0.45,0.8,-1.09752,0.963348,0.963348,9.8743e-06
0.45,0.85,-1.05509,0.965822,0.965822,6.68546e-06
0.45,0.9,-1.01114,0.967687,0.967687,6.3621e-06
0.45,0.95,-0.967606,0.969628,0.969628,8.78204e-06
0.5,-1,-0.955055,-0.9838,0.9838,4.36468e-06
0.5,-0.95,-1.00214,-0.983026,0.983026,3.59793e-06
0.5,-0.9,-1.04748,-0.981597,0.981597,5.04526e-06
0.5,-0.85,-1.09295,-0.980236,0.980236,5.77341e-06
0.5,-0.8,-1.13868,-0.979012,0.979012,7.92791e-06
0.5,-0.75,-1.18468,-0.977913,0.977913,5.53053e-06
0.5,-0.7,-1.22938,-0.976287,0.976287,8.56959e-06
0.5,-0.65,-1.27378,-0.974684,0.974684,7.79358e-06
0.5,-0.6,-1.31717,-0.97256,0.97256,8.02198e-06
0.5,-0.55,-1.36124,-0.971,0.971,9.52578e-06
0.5,-0.5,-1.40411,-0.968832,0.968832,1.07236e-05
0.5,-0.45,-1.44466,-0.965988,0.965988,1.46584e-05
0.5,-0.4,-1.48587,-0.963458,0.963458,1.42529e-05
0.5,-0.35,-1.52442,-0.959796,0.959796,1.41116e-05
0.5,-0.3,-1.56435,-0.956678,0.956678,2.01958e-05
0.5,-0.25,-1.60084,-0.952396,0.952396,2.0414e-05
0.5,-0.2,-1.63768,-0.948204,0.948204,1.94003e-05
0.5,-0.15,-1.67055,-0.94239,0.94239,2.02918e-05
0.5,-0.1,-1.70265,-0.935634,0.935634,2.22599e-05
0.5,-0.05,-1.72495,-0.924877,0.924877,3.18837e-05
0.5,3.19189e-16,-1.7449,0.910646,0.910646,4.93872e-05
0.5,0.05,-1.72742,0.925895,0.925895,2.86348e-05
0.5,0.1,-1.70101,0.935111,0.935111,2.89412e-05
0.5,0.15,-1.66936,0.941721,0.941721,2.87771e-05
0.5,0.2,-1.63592,0.947312,0.947312,2.36591e-05
0.5,0.25,-1.60297,0.953348,0.953348,1.64884e-05
0.5,0.3,-1.56401,0.956517,0.956517,1.29569e-05
0.5,0.35,-1.52487,0.960106,0.960106,1.85143e-05
0.5,0.4,-1.4866,0.963723,0.963723,1.35081e-05
0.5,0.45,-1.44386,0.965673,0.965673,1.15886e-05
0.5,0.5,-1.40273,0.96849,0.96849,1.10306e-05
0.5,0.55,-1.35998,0.970483,0.970483,1.00123e-05
0.5,0.6,-1.31664,0.972498,0.972498,8.6675e-06
0.5,0.65,-1.27261,0.974321,0.974321,8.23254e-06
0.5,0.7,-1.2285,0.976011,0.976011,8.92147e-06
0.5,0.75,-1.18392,0.977622,0.977622,8.87789e-06
0.5,0.8,-1.13966,0.979246,0.979246,7.44859e-06
0.5,0.85,-1.09386,0.980573,0.980573,5.05386e-06
0.5,0.9,-1.04736,0.981511,0.981511,4.71113e-06
0.5,0.95,-1.00147,0.982749,0.982749,3.52679e-06
0.55,-1,-0.972837,-0.990398,0.990398,2.93738e-06
0.55,-0.95,-1.02164,-0.990175,0.990175,3.24006e-06
0.55,-0.9,-1.06908,-0.989425,0.989425,3.0721e-06
0.55,-0.85,-1.11639,-0.988627,0.988627,3.78449e-06
0.55,-0.8,-1.16356,-0.987766,0.987766,3.97102e-06
0.55,-0.75,-1.21137,-0.987258,0.987258,5.27043e-06
0.55,-0.7,-1.25771,-0.986229,0.986229,6.00944e-06
0.55,-0.65,-1.3041,-0.985198,0.985198,6.3603e-06
0.55,-0.6,-1.3499,-0.983954,0.983954,6.92279e-06
0.55,-0.55,-1.39543,-0.982729,0.982729,5.75915e-06
0.55,-0.5,-1.44067,-0.981404,0.981404,1e-05
0.55,-0.45,-1.4856,-0.979996,0.979996,1.01856e-05
0.55,-0.4,-1.53103,-0.978755,0.978755,1.36716e-05
0.55,-0.35,-1.57498,-0.977073,0.977073,1.23472e-05
0.55,-0.3,-1.61666,-0.974635,0.974635,1.23214e-05
0.55,-0.25,-1.65871,-0.972277,0.972277,1.23825e-05
0.55,-0.2,-1.70195,-0.970413,0.970413,1.89006e-05
0.55,-0.15,-1.74088,-0.96692,0.96692,1.53874e-05
0.55,-0.1,-1.78126,-0.964067,0.964067,1.69014e-05
0.55,-0.05,-1.81775,-0.959698,0.959698,2.27595e-05
0.55,3.19189e-16,-1.79592,-0.110151,0.110151,3.37639e-05
0.55,0.05,-1.8172,0.959515,0.959515,2.48926e-05
0.55,0.1,-1.77876,0.963315,0.963315,1.80847e-05
0.55,0.15,-1.74084,0.966987,0.966987,1.86955e-05
0.55,0.2,-1.70031,0.969817,0.969817,1.67023e-05
0.55,0.25,-1.65996,0.972792,0.972792,1.60551e-05
0.55,0.3,-1.61631,0.974601,0.974601,1.42653e-05
0.55,0.35,-1.57432,0.976884,0.976884,1.0198e-05
0.55,0.4,-1.5307,0.978735,0.978735,9.66966e-06
0.55,0.45,-1.48631,0.980228,0.980228,1.04586e-05
0.55,0.5,-1.44076,0.981508,0.981508,8.67638e-06
0.55,0.55,-1.39618,0.982998,0.982998,6.90139e-06
0.55,0.6,-1.34907,0.98371,0.98371,6.55794e-06
0.55,0.65,-1.30395,0.985172,0.985172,4.76057e-06
0.55,0.7,-1.25749,0.986149,0.986149,5.81475e-06
0.55,0.75,-1.21051,0.986967,0.986967,4.96771e-06
0.55,0.8,-1.1631,0.987659,0.987659,3.98465e-06
0.55,0.85,-1.1162,0.988597,0.988597,3.04288e-06
0.55,0.9,-1.06896,0.989382,0.989382,4.03634e-06
0.55,0.95,-1.0209,0.989902,0.989902,3.61785e-06
0.6,-1,-0.984456,-0.994612,0.994612,2.15223e-06
0.6,-0.95,-1.03289,-0.994185,0.994185,2.37575e-06
0.6,-0.9,-1.08105,-0.993607,0.993607,3.07872e-06
0.6,-0.85,-1.13017,-0.993413,0.993413,3.18531e-06
0.6,-0.8,-1.17794,-0.99274,0.99274,3.18819e-06
0.6,-0.75,-1.22608,-0.992258,0.992258,3.61195e-06
0.6,-0.7,-1.27401,-0.991674,0.991674,4.94693e-06
0.6,-0.65,-1.32196,-0.991079,0.991079,3.86415e-06
0.6,-0.6,-1.37038,-0.990763,0.990763,5.41987e-06
0.6,-0.55,-1.41686,-0.989784,0.989784,5.21599e-06
0.6,-0.5,-1.46395,-0.988965,0.988965,6.7389e-06
0.6,-0.45,-1.51038,-0.988011,0.988011,6.30027e-06
0.6,-0.4,-1.55708,-0.987131,0.987131,5.5027e-06
0.6,-0.35,-1.60349,-0.986206,0.986206,6.8836e-06
